,基金代码,基金简称,基金条码,涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,无用1,手续费,无用2,也是手续费,无用3,无用4
0,512690,鹏华中证酒ETF,PHZZJETF,128.1777,,0,2020-04-01,1.0668,1.0668,2021-04-01,2.4342,2.4342,2019-04-04,,,,,,
1,161725,招商中证白酒指数(LOF)A,ZSZZBJZSLOFA,121.4506,,0,2020-04-01,0.8806,2.0067,2021-04-01,1.2946,2.9257,2015-05-27,1,0.10%,1,0.10%,1,1.00%
2,160632,鹏华酒A,PHJA,119.8213,,0,2020-04-01,1.092,1.637,2021-04-01,0.975,2.305,2015-04-29,1,0.12%,1,0.12%,1,1.20%
3,515700,平安中证新能源汽车产业ETF,PAZZXNYQCCYETF,101.8618,,0,2020-04-01,0.9292,0.9292,2021-04-01,1.8757,1.8757,2019-12-31,,,,,,
4,159806,国泰中证新能源汽车ETF,GTZZXNYQCETF,101.2666,,0,2020-04-01,0.9395,0.9395,2021-04-01,1.8909,1.8909,2020-03-10,,,,,,
5,501057,汇添富中证新能源汽车A,HTFZZXNYQCA,98.8209,,0,2020-04-01,0.9753,0.9753,2021-04-01,1.9391,1.9391,2018-05-23,1,0.12%,1,0.12%,1,1.20%
6,501058,汇添富中证新能源汽车C,HTFZZXNYQCC,98.3191,,0,2020-04-01,0.9697,0.9697,2021-04-01,1.9231,1.9231,2018-05-23,1,0.00%,,,,
7,501090,华宝中证消费龙头指数(LOF)A,HBZZXFLTZSLOFA,93.0129,,0,2020-04-01,0.8759,0.8759,2021-04-01,1.6906,1.6906,2019-12-19,1,0.10%,1,0.10%,1,1.00%
8,004788,富荣沪深300指数增强A,FRHS300ZSZQA,92.9607,,0,2020-04-01,1.0072,1.0072,2021-04-01,1.9435,1.9435,2018-02-11,1,0.12%,1,0.12%,1,1.20%
9,004789,富荣沪深300指数增强C,FRHS300ZSZQC,92.7448,,0,2020-04-01,1.0048,1.0048,2021-04-01,1.9367,1.9367,2018-02-11,1,0.00%,,,,
10,515030,华夏中证新能源汽车ETF,HXZZXNYQCETF,91.8251,,0,2020-04-01,0.7731,0.7731,2021-04-01,1.483,1.483,2020-02-20,,,,,,
11,161028,富国中证新能源汽车指数(LOF)A,FGZZXNYQCZSLOFA,86.6908,,0,2020-04-01,0.777,0.851,2021-04-01,0.953,1.277,2015-03-30,1,0.12%,1,0.12%,1,1.20%
