,基金代码,基金简称,基金条码,涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,无用1,无用1.5,无用2,手续费,无用3,无用4
33,217027,招商央视财经50指数A,ZSYSCJ50ZSA,22.1613,,0,2016/4/1,1.277,1.277,2017/3/31,1.56,1.56,2013/2/5,1,0.12%,1,0.12%,1,1.20%
34,1149,汇丰晋信恒生龙头指数C,HFJXHSLTZSC,22.0382,,0,2016/4/1,1.2433,1.2433,2017/3/31,1.5173,1.5173,2015/4/1,1,0.00%,,,,
35,311,景顺长城沪深300指数增强A,JSCCHS300ZSZQA,21.9261,,0,2016/4/1,1.651,1.651,2017/3/31,2.013,2.013,2013/10/29,1,0.12%,1,0.12%,1,1.20%
36,510160,中证南方小康产业指数ETF,ZZNFXKCYZSETF,21.8737,,0,2016/4/1,0.4622,1.1499,2017/3/31,0.5633,1.4014,2010/8/27,,,,,,
37,1242,博时中证淘金大数据100A,BSZZTJDSJ100A,21.7963,,0,2016/4/1,0.7382,0.7382,2017/3/31,0.8991,0.8991,2015/5/4,1,0.12%,1,0.12%,1,1.20%
38,1243,博时中证淘金大数据100I,BSZZTJDSJ100I,21.7904,,0,2016/4/1,0.7384,0.7384,2017/3/31,0.8993,0.8993,2015/5/4,,0.60%,,,,
39,248,汇添富中证主要消费ETF联接A,HTFZZZYXFETFLJA,21.643,,0,2016/4/1,0.8996,0.8996,2017/3/31,1.0943,1.0943,2015/3/24,1,0.10%,1,0.10%,1,1.00%
40,1048,富国新兴产业股票,FGXXCYGP,21.346,,0,2016/4/1,0.951,0.951,2017/3/31,1.154,1.154,2015/3/12,1,0.15%,1,0.15%,1,1.50%
41,202021,南方小康ETF联接A,NFXKETFLJA,21.0832,,0,2016/4/1,1.0193,1.0393,2017/3/31,1.2342,1.2542,2010/8/27,1,0.12%,1,0.12%,1,1.20%
42,478,建信中证500指数增强A,JXZZ500ZSZQA,20.91,,0,2016/4/1,1.956,1.956,2017/3/31,2.365,2.365,2014/1/27,1,0.15%,1,0.15%,1,1.50%
43,1631,天弘中证食品饮料ETF联接A,THZZSPYLETFLJA,20.9034,,0,2016/4/1,0.963,0.963,2017/3/31,1.1643,1.1643,2015/7/29,1,0.10%,1,0.10%,1,1.00%
