,基金代码,基金简称,基金条码,涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,无用1,手续费,无用2,也是手续费,无用3,无用4
0,3803,华安新丰利灵活配置混合A,HAXFLLHPZHHA,,203.5714,0,2017/4/5,1.008,1.008,2018/3/30,3.06,3.06,2016/12/29,,1.50%,,,,
1,1387,中融新经济混合A,ZRXJJHHA,124.4378,0.432,1,2017/4/5,0.988,0.988,2018/3/30,1.776,2.208,2015/11/17,1,0.15%,1,0.15%,1,1.50%
2,3142,鹏华弘达混合A,PHHDHHA,119.729,,0,2017/4/5,1.0036,1.0036,2018/3/30,2.2052,2.2052,2016/8/10,1,0.15%,1,0.15%,1,1.50%
3,2163,东方惠新灵活配置混合C,DFHXLHPZHHC,102.2311,,0,2017/4/5,1.0847,1.0847,2018/3/30,2.1936,2.1936,2015/11/20,1,0.00%,,,,
4,4008,中融鑫思路混合A,ZRXSLHHA,69.9604,0.383,1,2017/4/5,1.0308,1.0308,2018/3/30,1.3687,1.7517,2017/1/16,1,0.15%,1,0.15%,1,1.50%
5,4009,中融鑫思路混合C,ZRXSLHHC,67.6033,0.383,1,2017/4/5,1.0305,1.0305,2018/3/30,1.3477,1.7307,2017/1/16,1,0.00%,,,,
6,519772,交银新生活力灵活配置混合,JYXSHLLHPZHH,57.4879,,0,2017/4/5,1.035,1.035,2018/3/30,1.63,1.63,2016/11/11,1,0.15%,1,0.15%,1,1.50%
7,2068,东方多策略灵活配置混合C,DFDCLLHPZHHC,52.9535,0.17,1,2017/4/5,1.2673,1.2673,2018/3/30,1.6794,1.8494,2015/11/13,1,0.00%,,,,
8,550016,中信保诚至远动力混合C,ZXBCZYDLHHC,52.2072,,0,2017/4/5,0.965,1.624,2018/3/30,1.4688,1.4688,2012/12/12,1,0.00%,,0.00%,0,0.00%
9,4223,金信多策略精选灵活配置,JXDCLJXLHPZ,51.3,,0,2017/6/8,1,1,2018/3/30,1.513,1.513,2017/6/8,1,0.15%,1,0.15%,1,1.50%
10,2803,东方红沪港深混合,DFHHGSHH,48.9619,,0,2017/4/5,1.156,1.156,2018/3/30,1.722,1.722,2016/7/11,1,0.15%,1,0.15%,1,1.50%
11,169105,东方红睿华沪港深混合(LOF),DFHRHHGSHHLOF,48.1206,0.222,1,2017/4/5,1.141,1.141,2018/3/30,1.4714,1.6934,2016/8/4,1,0.15%,1,0.15%,1,1.50%
12,1112,东方红中国优势混合,DFHZGYSHH,42.7835,,0,2017/4/5,1.164,1.164,2018/3/30,1.662,1.662,2015/4/7,1,0.15%,1,0.15%,1,1.50%
13,519732,交银定期支付双息平衡混合,JYDQZFSXPHHH,41.7727,,0,2017/4/5,2.2,2.2,2018/3/30,3.119,3.119,2013/9/4,1,0.15%,1,0.15%,1,1.50%
14,169104,东方红睿满沪港深混合(LOF),DFHRMHGSHHLOF,41.4843,0.251,1,2017/4/5,1.156,1.185,2018/3/30,1.386,1.666,2016/6/28,1,0.15%,1,0.15%,1,1.50%
15,531,东吴阿尔法灵活配置混合A,DWAEFLHPZHHA,41.2861,,0,2017/4/5,1.073,1.073,2018/3/30,1.516,1.516,2014/3/19,1,0.15%,1,0.15%,1,1.50%
16,619,东方红产业升级混合,DFHCYSJHH,40.7392,,0,2017/4/5,2.408,2.408,2018/3/30,3.389,3.389,2014/6/6,1,0.15%,1,0.15%,1,1.50%
17,4128,前海联合泳隆混合A,QHLHYLHHA,40.036,,0,2017/8/29,1.0001,1.0001,2018/3/30,1.4005,1.4005,2017/8/29,1,0.15%,1,0.15%,1,1.50%
18,169103,东方红睿轩三年定开混合,DFHRXSNDKHH,39.6005,0.205,1,2017/4/5,1.166,1.208,2018/3/30,1.429,1.676,2016/1/20,1,1.50%,99,1.50%,99,1.50%
19,169102,东方红睿阳三年混合,DFHRYSNHH,39.3933,,0,2017/4/5,1.249,1.632,2018/3/30,1.399,2.125,2015/1/19,6,1.50%,99,1.50%,99,1.50%
20,260108,景顺长城新兴成长混合,JSCCXXCZHH,39.012,0.17,1,2017/4/5,1.019,2.386,2018/3/30,1.258,2.795,2006/6/28,1,0.15%,1,0.15%,1,1.50%
21,162605,景顺长城鼎益混合(LOF),JSCCDYHHLOF,37.9343,0.04,1,2017/4/5,0.96,3.648,2018/3/30,1.287,4.015,2005/3/16,1,0.15%,1,0.15%,1,1.50%
22,3889,汇安丰泽混合A,HAFZHHA,37.4851,,0,2017/4/5,1.0855,1.0855,2018/3/30,1.4924,1.4924,2017/1/13,1,0.15%,1,0.15%,1,1.50%
23,70032,嘉实优化红利混合A,JSYHHLHHA,37.346,,0,2017/4/5,1.055,1.908,2018/3/30,1.449,2.302,2012/6/26,1,0.15%,1,0.15%,1,1.50%
24,3890,汇安丰泽混合C,HAFZHHC,37.3204,,0,2017/4/5,1.0852,1.0852,2018/3/30,1.4902,1.4902,2017/1/13,1,0.00%,,,,
25,169101,东方红睿丰混合,DFHRFHH,36.8143,0.223,1,2017/4/5,1.292,1.971,2018/3/30,1.513,2.415,2014/9/19,1,0.15%,1,0.15%,1,1.50%
26,878,中海医药健康产业精选混合A,ZHYYJKCYJXHHA,35.7082,,0,2017/4/5,1.179,1.179,2018/3/30,1.6,1.6,2014/12/17,1,0.15%,1,0.15%,1,1.50%
27,40008,华安策略优选混合A,HACLYXHHA,34.8705,,0,2017/4/5,1.1775,2.7138,2018/3/30,1.5881,3.1244,2007/8/2,1,0.15%,1,0.15%,1,1.50%
28,519008,汇添富优势精选混合,HTFYSJXHH,34.7962,0.1136,1,2017/4/5,2.381,6.197,2018/3/30,3.0953,7.0249,2005/8/25,1,0.15%,1,0.15%,1,1.50%
29,1740,光大中国制造2025混合,GDZGZZ2025HH,34.7785,,0,2017/4/5,1.061,1.061,2018/3/30,1.43,1.43,2015/12/23,1,0.15%,1,0.15%,1,1.50%
30,879,中海医药健康产业精选混合C,ZHYYJKCYJXHHC,34.7222,,0,2017/4/5,1.152,1.152,2018/3/30,1.552,1.552,2014/12/17,1,0.00%,,,,
31,519196,万家新兴蓝筹灵活配置混合,WJXXLCLHPZHH,34.6959,0.3107,1,2017/4/5,1.2235,1.2235,2018/3/30,1.3092,1.6199,2016/1/26,1,0.12%,1,0.12%,1,1.20%
32,3396,东方红优享红利混合,DFHYXHLHH,34.5301,,0,2017/4/5,1.0863,1.0863,2018/3/30,1.4614,1.4614,2016/10/31,1,0.15%,1,0.15%,1,1.50%
33,173,汇添富美丽30混合A,HTFML30HHA,34.445,,0,2017/4/5,1.919,1.919,2018/3/30,2.58,2.58,2013/6/25,1,0.15%,1,0.15%,1,1.50%
34,1281,长安鑫利优选混合A,CAXLYXHHA,34.26,,0,2017/4/5,1.1979,1.1979,2018/3/30,1.6083,1.6083,2015/5/18,1,0.15%,1,0.15%,1,1.50%
35,2072,长安鑫利优选混合C,CAXLYXHHC,34.0688,,0,2017/4/5,1.1964,1.1964,2018/3/30,1.604,1.604,2015/11/17,1,0.00%,,,,
36,3095,中欧医疗健康混合A,ZOYLJKHHA,33.9549,,0,2017/4/5,1.019,1.019,2018/3/30,1.365,1.365,2016/9/29,1,0.15%,1,0.15%,1,1.50%
37,3096,中欧医疗健康混合C,ZOYLJKHHC,33.7266,,0,2017/4/5,1.017,1.017,2018/3/30,1.36,1.36,2016/9/29,1,0.00%,,,,
38,1657,长安鑫富领先混合,CAXFLXHH,33.7165,,0,2017/4/5,1.044,1.044,2018/3/30,1.396,1.396,2017/2/22,1,0.15%,1,0.15%,1,1.50%
39,1076,易方达改革红利混合,YFDGGHLHH,33.6436,,0,2017/4/5,0.752,0.752,2018/3/30,1.005,1.005,2015/4/23,1,0.15%,1,0.15%,1,1.50%
40,1581,华安沪港深通精选灵活配置混合,HAHGSTJXLHPZHH,33.4961,,0,2017/4/5,1.024,1.024,2018/3/30,1.367,1.367,2017/2/16,6,0.15%,1,0.15%,1,1.50%
41,519664,银河美丽混合A,YHMLHHA,33.1502,,0,2017/4/5,1.638,1.638,2018/3/30,2.181,2.181,2014/5/29,1,0.15%,1,0.15%,1,1.50%
42,340007,兴全社会责任混合,XQSHZRHH,33.0404,,0,2017/4/5,2.845,3.035,2018/3/30,3.785,3.975,2008/4/30,1,0.15%,1,0.15%,1,1.50%
43,1712,东方红优势精选混合,DFHYSJXHH,32.642,,0,2017/4/5,1.109,1.109,2018/3/30,1.471,1.471,2015/9/8,1,0.15%,1,0.15%,1,1.50%
44,1287,安信优势增长混合A,AXYSZZHHA,32.3625,,0,2017/4/5,1.1433,1.1433,2018/3/30,1.5133,1.5133,2015/5/20,1,0.10%,1,0.10%,1,1.00%
45,519690,交银稳健配置混合A,JYWJPZHHA,32.3393,0.207,1,2017/4/5,1.2402,3.4232,2018/3/30,1.4472,3.8372,2006/6/14,1,0.15%,1,0.15%,1,1.50%
46,519066,汇添富蓝筹稳健混合A,HTFLCWJHHA,32.0952,0.206,1,2017/4/5,1.951,2.761,2018/3/30,2.386,3.402,2008/7/8,1,0.15%,1,0.15%,1,1.50%
47,519665,银河美丽混合C,YHMLHHC,32.0601,,0,2017/4/5,1.597,1.597,2018/3/30,2.109,2.109,2014/5/29,1,0.00%,,0.00%,0,0.00%
48,2036,安信优势增长混合C,AXYSZZHHC,32.0175,,0,2017/4/5,1.1425,1.1425,2018/3/30,1.5083,1.5083,2015/11/17,1,0.00%,,,,
49,83,汇添富消费行业混合,HTFXFHYHH,31.7351,,0,2017/4/5,2.461,2.461,2018/3/30,3.242,3.242,2013/5/3,1,0.15%,1,0.15%,1,1.50%
50,377240,上投摩根新兴动力混合A,STMGXXDLHHA,31.3567,,0,2017/4/5,2.344,2.344,2018/3/30,3.079,3.079,2011/7/13,1,0.15%,1,0.15%,1,1.50%
