,基金代码,基金简称,基金条码,涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,无用1,手续费,无用2,也是手续费,无用3,无用4
0,15282,华安恒生科技ETF发起式联接(QDII)A,HAHSKJETFFQSLJQDIIA,9.87,,0,2022/4/19,1,1,2022/4/29,1.0987,1.0987,2022/4/19,1,0.50%,99,0.50%,99,0.50%
1,15283,华安恒生科技ETF发起式联接(QDII)C,HAHSKJETFFQSLJQDIIC,9.86,,0,2022/4/19,1,1,2022/4/29,1.0986,1.0986,2022/4/19,1,0.00%,,,,
2,513530,华泰柏瑞中证港股通高股息投资ETF(QDII),HTBRZZGGTGGXTZETFQDII,1.559532,,0,2022/4/8,1.0003,1.0003,2022/4/29,1.0159,1.0159,2022/4/8,,,,,,
3,513380,广发恒生科技(QDII-ETF),GFHSKJQDIIETF,0.01,,0,2022/4/27,1,1,2022/4/29,1.0001,1.0001,2022/4/27,,,,,,
4,13308,易方达恒生科技ETF联接(QDII)A,YFDHSKJETFLJQDIIA,0,,0,2022/4/29,1,1,2022/4/29,1,1,2022/4/29,6,0.06%,1,0.06%,1,0.60%
5,13309,易方达恒生科技ETF联接(QDII)C,YFDHSKJETFLJQDIIC,0,,0,2022/4/29,1,1,2022/4/29,1,1,2022/4/29,6,0.00%,,,,
6,159750,招商中证香港科技ETF(QDII),ZSZZXGKJETFQDII,-15.65,,0,2022/1/26,1,1,2022/4/29,0.8435,0.8435,2022/1/26,,,,,,
7,513800,南方顶峰TOPIX-ETF,NFDFTOPIXETF,-15.7123,,0,2021/4/1,1.2067,1.2067,2022/4/29,1.0171,1.0171,2019/6/12,,,,,,
8,513890,上投摩根恒生科技ETF(QDII),STMGHSKJETFQDII,-18.43447,,0,2021/12/17,1.0003,1.0003,2022/4/29,0.8159,0.8159,2021/12/17,,,,,,
9,14438,博时恒生科技ETF发起式联接(QDII)A,BSHSKJETFFQSLJQDIIA,-18.79,,0,2021/12/21,1,1,2022/4/29,0.8121,0.8121,2021/12/21,1,0.12%,1,0.12%,1,1.20%
10,14439,博时恒生科技ETF发起式联接(QDII)C,BSHSKJETFFQSLJQDIIC,-19.37,,0,2021/12/21,1,1,2022/4/29,0.8063,0.8063,2021/12/21,1,0.00%,,,,
11,14425,博时恒生医疗保健ETF发起式联接(QDII)C,BSHSYLBJETFFQSLJQDIIC,-19.93,,0,2021/12/28,1,1,2022/4/29,0.8007,0.8007,2021/12/28,1,0.00%,,,,
12,14424,博时恒生医疗保健ETF发起式联接(QDII)A,BSHSYLBJETFFQSLJQDIIA,-19.97,,0,2021/12/28,1,1,2022/4/29,0.8003,0.8003,2021/12/28,1,0.12%,1,0.12%,1,1.20%
13,513000,易方达日经225ETF,YFDRJ225ETF,-20.5592,,0,2021/4/1,1.2948,1.2948,2022/4/29,1.0286,1.0286,2019/6/12,,,,,,
14,513880,华安日经225ETF,HARJ225ETF,-20.914,,0,2021/4/1,1.2451,1.2451,2022/4/29,0.9847,0.9847,2019/6/12,,,,,,
15,513520,华夏野村日经225ETF,HXYCRJ225ETF,-21.1753,,0,2021/4/1,1.2916,1.2916,2022/4/29,1.0181,1.0181,2019/6/12,,,,,,
16,110011,易方达优质精选混合(QDII),YFDYZJXHHQDII,-22.9341,,0,2021/4/1,8.04,9.83,2022/4/29,6.1961,7.9861,2008/6/19,1,0.15%,1,0.15%,1,1.50%
17,161124,易方达香港小型股指数A,YFDXGXXGZSA,-23.2355,,0,2021/4/1,1.3729,1.3729,2022/4/29,1.0539,1.0539,2016/11/2,1,0.12%,1,0.12%,1,1.20%
18,6263,易方达香港小型股指数C,YFDXGXXGZSC,-23.384,,0,2021/4/1,1.3676,1.3676,2022/4/29,1.0478,1.0478,2018/8/13,1,0.00%,,,,
19,13171,华夏恒生互联网科技业ETF联接(QDII)A,HXHSHLWKJYETFLJQDIIA,-23.96,,0,2021/9/14,1,1,2022/4/29,0.7604,0.7604,2021/9/14,1,0.12%,1,0.12%,1,1.20%
20,13172,华夏恒生互联网科技业ETF联接(QDII)C,HXHSHLWKJYETFLJQDIIC,-24.1,,0,2021/9/14,1,1,2022/4/29,0.759,0.759,2021/9/14,1,0.00%,,,,
21,513600,南方恒指ETF,NFHZETF,-24.2738,,0,2021/4/1,2.7334,1.4177,2022/4/29,2.0699,1.0735,2014/12/23,,,,,,
22,164705,汇添富恒生指数A,HTFHSZSA,-24.4266,,0,2021/4/1,1.1467,1.2917,2022/4/29,0.8666,1.0116,2014/3/6,1,0.12%,1,0.12%,1,1.20%
23,10789,汇添富恒生指数C,HTFHSZSC,-24.4966,,0,2021/4/1,1.1471,1.1471,2022/4/29,0.8661,0.8661,2020/12/1,1,0.00%,,,,
24,12804,广发恒生科技指数(QDII)A,GFHSKJZSQDIIA,-24.72,,0,2021/8/11,1,1,2022/4/29,0.7528,0.7528,2021/8/11,1,0.12%,1,0.12%,1,1.20%
25,12805,广发恒生科技指数(QDII)C,GFHSKJZSQDIIC,-24.82,,0,2021/8/11,1,1,2022/4/29,0.7518,0.7518,2021/8/11,1,0.00%,,,,
26,13402,华夏恒生科技ETF发起式联接(QDII)A,HXHSKJETFFQSLJQDIIA,-25.14,,0,2021/9/28,1,1,2022/4/29,0.7486,0.7486,2021/9/28,1,0.12%,1,0.12%,1,1.20%
27,160924,大成恒生指数,DCHSZS,-25.1701,,0,2021/4/1,1.029,1.029,2022/4/29,0.77,0.77,2017/8/10,1,0.12%,1,0.12%,1,1.20%
28,13403,华夏恒生科技ETF发起式联接(QDII)C,HXHSKJETFFQSLJQDIIC,-25.27,,0,2021/9/28,1,1,2022/4/29,0.7473,0.7473,2021/9/28,1,0.00%,,,,
29,160922,大成恒生综合中小型股指数A,DCHSZHZXXGZSA,-25.272,,0,2021/4/1,1.195,1.195,2022/4/29,0.893,0.893,2016/12/2,1,0.12%,1,0.12%,1,1.20%
30,8972,大成恒生综合中小型股指数C,DCHSZHZXXGZSC,-25.3143,,0,2021/4/1,1.193,1.193,2022/4/29,0.891,0.891,2020/3/3,1,0.00%,,,,
31,71,华夏恒生ETF联接A,HXHSETFLJA,-25.5608,,0,2021/4/1,1.5469,1.5469,2022/4/29,1.1515,1.1515,2012/8/21,1,0.12%,1,0.12%,1,1.20%
32,6381,华夏恒生ETF联接C,HXHSETFLJC,-25.7974,,0,2021/4/1,1.5362,1.5362,2022/4/29,1.1399,1.1399,2018/9/19,1,0.00%,,,,
33,75,华夏恒生ETF联接现汇,HXHSETFLJXH,-26.2399,,0,2021/4/1,0.2359,0.2359,2022/4/29,0.174,0.174,2012/8/21,,0.00%,,,,
34,12979,大成恒生科技ETF发起式联接A,DCHSKJETFFQSLJA,-26.25,,0,2021/9/9,1,1,2022/4/29,0.7375,0.7375,2021/9/9,1,0.12%,1,0.12%,1,1.20%
35,12980,大成恒生科技ETF发起式联接C,DCHSKJETFFQSLJC,-26.43,,0,2021/9/9,1,1,2022/4/29,0.7357,0.7357,2021/9/9,1,0.00%,,,,
36,159920,华夏恒生ETF(QDII),HXHSETFQDII,-26.4357,,0,2021/4/1,1.5237,1.5997,2022/4/29,1.1209,1.1969,2012/8/9,,,,,,
37,13127,汇添富恒生科技指数发起(QDII)A,HTFHSKJZSFQQDIIA,-26.85,,0,2021/10/26,1,1,2022/4/29,0.7315,0.7315,2021/10/26,1,0.10%,1,0.10%,1,1.00%
38,13128,汇添富恒生科技指数发起(QDII)C,HTFHSKJZSFQQDIIC,-26.94,,0,2021/10/26,1,1,2022/4/29,0.7306,0.7306,2021/10/26,1,0.00%,,,,
39,7455,富国蓝筹精选股票(QDII)人民币,FGLCJXGPQDIIRMB,-27.5349,,0,2021/4/1,2.4202,2.4202,2022/4/29,1.7538,1.7538,2019/8/2,1,0.15%,1,0.15%,1,1.50%
40,501021,华宝香港中小(QDII-LOF)A,HBXGZXQDIILOFA,-27.8599,,0,2021/4/1,1.827,1.827,2022/4/29,1.318,1.318,2016/6/24,1,0.10%,1,0.10%,1,1.00%
41,6127,华宝香港中小C,HBXGZXC,-28.1626,,0,2021/4/1,1.8102,1.8102,2022/4/29,1.3004,1.3004,2018/7/30,1,0.00%,,,,
42,110031,易方达恒生国企ETF联接A,YFDHSGQETFLJA,-32.2979,,0,2021/4/1,1.2137,1.2137,2022/4/29,0.8217,0.8217,2012/8/21,1,0.12%,1,0.12%,1,1.20%
43,5675,易方达恒生国企ETF联接C,YFDHSGQETFLJC,-32.4988,,0,2021/4/1,1.2302,1.2302,2022/4/29,0.8304,0.8304,2018/2/9,1,0.00%,,,,
44,160717,嘉实恒生中国企业,JSHSZGQY,-32.824,,0,2021/4/1,0.8311,0.8311,2022/4/29,0.5583,0.5583,2010/9/30,1,0.15%,1,0.15%,1,1.50%
45,110033,易方达恒生国企ETF联接现钞A,YFDHSGQETFLJXCA,-32.9011,,0,2021/4/1,0.1851,0.1851,2022/4/29,0.1242,0.1242,2012/8/21,,1.20%,,,,
46,110032,易方达恒生国企ETF联接现汇A,YFDHSGQETFLJXHA,-32.9011,,0,2021/4/1,0.1851,0.1851,2022/4/29,0.1242,0.1242,2012/8/21,,1.20%,,,,
47,510900,易方达恒生国企ETF,YFDHSGQETF,-33.8215,,0,2021/4/1,1.2223,1.2723,2022/4/29,0.8089,0.8589,2012/8/9,,,,,,
48,159823,嘉实恒生中国企业ETF(QDII),JSHSZGQYETFQDII,-33.8803,,0,2021/4/1,1.0726,1.0726,2022/4/29,0.7092,0.7092,2020/9/24,,,,,,
49,159850,华夏恒生中国企业ETF(QDII),HXHSZGQYETFQDII,-34.0345,,0,2021/4/1,0.9746,0.9746,2022/4/29,0.6429,0.6429,2021/2/1,,,,,,
50,161831,银华恒生中国企业指数,YHHSZGQYZS,-35.6775,,0,2021/4/1,0.9513,0.9513,2022/4/29,0.6119,0.6119,2014/4/9,1,0.12%,1,0.12%,1,1.20%
51,12348,天弘恒生科技指数(QDII)A,THHSKJZSQDIIA,-38.13,,0,2021/7/6,1,1,2022/4/29,0.6187,0.6187,2021/7/6,6,0.10%,1,0.10%,1,1.00%
52,12349,天弘恒生科技指数(QDII)C,THHSKJZSQDIIC,-38.23,,0,2021/7/6,1,1,2022/4/29,0.6177,0.6177,2021/7/6,6,0.00%,,,,
53,159892,华夏恒生香港上市生物科技ETF(QDII),HXHSXGSSSWKJETFQDII,-41.2,,0,2021/9/29,1,1,2022/4/29,0.588,0.588,2021/9/29,,,,,,
54,159742,博时恒生科技ETF(QDII),BSHSKJETFQDII,-43.03,,0,2021/5/17,1,1,2022/4/29,0.5697,0.5697,2021/5/17,,,,,,
55,513010,易方达恒生科技(QDII-ETF),YFDHSKJQDIIETF,-43.31,,0,2021/5/18,1,1,2022/4/29,0.5669,0.5669,2021/5/18,,,,,,
56,159740,大成恒生科技ETF(QDII),DCHSKJETFQDII,-43.38,,0,2021/5/18,1,1,2022/4/29,0.5662,0.5662,2021/5/18,,,,,,
57,513580,华安恒生科技(QDII-ETF),HAHSKJQDIIETF,-43.42,,0,2021/5/20,1,1,2022/4/29,0.5658,0.5658,2021/5/20,,,,,,
58,159747,南方中证香港科技ETF(QDII),NFZZXGKJETFQDII,-43.42,,0,2021/7/2,1,1,2022/4/29,0.5658,0.5658,2021/7/2,,,,,,
59,513130,华泰柏瑞南方东英恒生科技(QDII-ETF),HTBRNFDYHSKJQDIIETF,-43.44,,0,2021/5/24,1,1,2022/4/29,0.5656,0.5656,2021/5/24,,,,,,
60,513180,华夏恒生科技ETF(QDII),HXHSKJETFQDII,-43.46,,0,2021/5/18,1,1,2022/4/29,0.5654,0.5654,2021/5/18,,,,,,
61,159741,嘉实恒生科技ETF(QDII),JSHSKJETFQDII,-44.09,,0,2021/5/26,1,1,2022/4/29,0.5591,0.5591,2021/5/26,,,,,,
