,基金代码,基金简称,基金条码,涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,无用1,手续费,无用2,也是手续费,无用3,无用4
0,005968,创金合信工业周期股票A,CJHXGYZQGPA,145.2550,,0,2020-04-01,1.1707,1.1707,2021-04-01,2.8712,2.8712,2018-05-17,1,0.15%,1,0.15%,1,1.50%
1,005969,创金合信工业周期股票C,CJHXGYZQGPC,143.5884,,0,2020-04-01,1.1565,1.1565,2021-04-01,2.8171,2.8171,2018-05-17,1,0.00%,,,,
2,001643,汇丰晋信智造先锋股票A,HFJXZZXFGPA,136.6635,,0,2020-04-01,1.2462,1.2462,2021-04-01,2.9493,2.9493,2015-09-30,1,0.15%,1,0.15%,1,1.50%
3,001644,汇丰晋信智造先锋股票C,HFJXZZXFGPC,135.4953,,0,2020-04-01,1.2196,1.2196,2021-04-01,2.8721,2.8721,2015-09-30,1,0.00%,,,,
4,004997,广发高端制造股票A,GFGDZZGPA,134.3167,,0,2020-04-01,1.2236,1.2236,2021-04-01,2.8671,2.8671,2017-09-01,1,0.15%,1,0.15%,1,1.50%
5,540008,汇丰晋信低碳先锋股票A,HFJXDTXFGPA,133.6514,,0,2020-04-01,1.2683,1.3683,2021-04-01,2.9634,3.0634,2010-06-08,1,0.15%,1,0.15%,1,1.50%
6,003834,华夏能源革新股票A,HXNYGXGPA,130.5243,,0,2020-04-01,1.068,1.068,2021-04-01,2.462,2.462,2017-06-07,1,0.15%,1,0.15%,1,1.50%
7,512690,鹏华中证酒ETF,PHZZJETF,128.1777,,0,2020-04-01,1.0668,1.0668,2021-04-01,2.4342,2.4342,2019-04-04,,,,,,
8,519714,交银消费新驱动股票,JYXFXQDGP,123.8758,,0,2020-04-01,0.934,2.718,2021-04-01,2.091,4.984,2012-11-07,1,0.15%,1,0.15%,1,1.50%
9,161725,招商中证白酒指数(LOF)A,ZSZZBJZSLOFA,121.4506,,0,2020-04-01,0.8806,2.0067,2021-04-01,1.2946,2.9257,2015-05-27,1,0.10%,1,0.10%,1,1.00%
10,160632,鹏华酒A,PHJA,119.8213,,0,2020-04-01,1.092,1.637,2021-04-01,0.975,2.305,2015-04-29,1,0.12%,1,0.12%,1,1.20%
11,006604,嘉实消费精选股票A,JSXFJXGPA,117.0433,,0,2020-04-01,1.062,1.062,2021-04-01,2.305,2.305,2019-04-03,1,0.15%,1,0.15%,1,1.50%
12,006605,嘉实消费精选股票C,JSXFJXGPC,115.9810,,0,2020-04-01,1.055,1.055,2021-04-01,2.2786,2.2786,2019-04-03,1,0.00%,,,,
13,004812,中欧先进制造股票A,ZOXJZZGPA,115.1635,,0,2020-04-01,1.1376,1.1376,2021-04-01,2.4477,2.4477,2018-01-19,1,0.15%,1,0.15%,1,1.50%
14,000991,工银战略转型股票A,GYZLZXGPA,114.3041,,0,2020-04-01,1.552,1.552,2021-04-01,3.326,3.326,2015-02-16,1,0.15%,1,0.15%,1,1.50%
15,004813,中欧先进制造股票C,ZOXJZZGPC,113.4957,,0,2020-04-01,1.1411,1.1411,2021-04-01,2.4362,2.4362,2018-01-19,1,0.00%,,,,
16,005660,嘉实资源精选股票A,JSZYJXGPA,108.0220,,0,2020-04-01,1.0895,1.0895,2021-04-01,2.2664,2.2664,2018-10-22,1,0.15%,1,0.15%,1,1.50%
17,004640,华夏节能环保股票A,HXJNHBGPA,107.7287,,0,2020-04-01,0.929,0.929,2021-04-01,1.9298,1.9298,2017-08-11,1,0.15%,1,0.15%,1,1.50%
18,005661,嘉实资源精选股票C,JSZYJXGPC,107.0115,,0,2020-04-01,1.0825,1.0825,2021-04-01,2.2409,2.2409,2018-10-22,1,0.00%,,,,
19,003624,创金合信资源股票发起式A,CJHXZYGPFQSA,105.9636,,0,2020-04-01,1.0061,1.0061,2021-04-01,2.0722,2.0722,2016-11-02,1,0.15%,1,0.15%,1,1.50%
20,001476,中银智能制造股票A,ZYZNZZGPA,105.0870,,0,2020-04-01,0.747,0.747,2021-04-01,1.532,1.532,2015-06-19,1,0.15%,1,0.15%,1,1.50%
21,003625,创金合信资源股票发起式C,CJHXZYGPFQSC,104.9383,,0,2020-04-01,0.9882,0.9882,2021-04-01,2.0252,2.0252,2016-11-02,1,0.00%,,,,
22,007548,易方达ESG责任投资股票,YFDESGZRTZGP,104.0812,,0,2020-04-01,0.9311,0.9311,2021-04-01,1.9002,1.9002,2019-09-02,1,0.15%,1,0.15%,1,1.50%
23,001496,工银聚焦30股票,GYJJ30GP,103.8615,,0,2020-04-01,0.751,0.751,2021-04-01,1.531,1.531,2015-06-25,1,0.15%,1,0.15%,1,1.50%
24,001054,工银新金融股票A,GYXJRGPA,103.5821,,0,2020-04-01,1.34,1.34,2021-04-01,2.728,2.728,2015-03-19,1,0.15%,1,0.15%,1,1.50%
25,005267,嘉实价值精选股票,JSJZJXGP,103.1813,,0,2020-04-01,1.0939,1.0939,2021-04-01,2.2226,2.2226,2017-11-06,1,0.15%,1,0.15%,1,1.50%
26,515700,平安中证新能源汽车产业ETF,PAZZXNYQCCYETF,101.8618,,0,2020-04-01,0.9292,0.9292,2021-04-01,1.8757,1.8757,2019-12-31,,,,,,
27,159806,国泰中证新能源汽车ETF,GTZZXNYQCETF,101.2666,,0,2020-04-01,0.9395,0.9395,2021-04-01,1.8909,1.8909,2020-03-10,,,,,,
28,001245,工银生态环境股票A,GYSTHJGPA,98.8417,,0,2020-04-01,0.777,0.777,2021-04-01,1.545,1.545,2015-06-02,1,0.15%,1,0.15%,1,1.50%
29,501057,汇添富中证新能源汽车A,HTFZZXNYQCA,98.8209,,0,2020-04-01,0.9753,0.9753,2021-04-01,1.9391,1.9391,2018-05-23,1,0.12%,1,0.12%,1,1.20%
30,001718,工银物流产业股票A,GYWLCYGPA,98.3794,,0,2020-04-01,1.666,1.666,2021-04-01,3.305,3.305,2016-03-01,1,0.15%,1,0.15%,1,1.50%
31,501058,汇添富中证新能源汽车C,HTFZZXNYQCC,98.3191,,0,2020-04-01,0.9697,0.9697,2021-04-01,1.9231,1.9231,2018-05-23,1,0.00%,,,,
32,001705,泓德战略转型股票,HDZLZXGP,96.3450,0.3,1,2020-04-01,1.167,1.367,2021-04-01,1.9669,2.4669,2015-11-10,1,0.15%,1,0.15%,1,1.50%
33,001008,工银国企改革股票,GYGQGGGP,94.5830,,0,2020-04-01,1.163,1.163,2021-04-01,2.263,2.263,2015-01-27,1,0.15%,1,0.15%,1,1.50%
34,000746,招商行业精选股票基金,ZSHYJXGPJJ,93.9863,,0,2020-04-01,2.195,2.195,2021-04-01,4.258,4.258,2014-09-03,1,0.15%,1,0.15%,1,1.50%
35,000409,鹏华环保产业股票,PHHBCYGP,93.8214,,0,2020-04-01,1.926,1.926,2021-04-01,3.733,3.733,2014-03-07,1,0.15%,1,0.15%,1,1.50%
36,501090,华宝中证消费龙头指数(LOF)A,HBZZXFLTZSLOFA,93.0129,,0,2020-04-01,0.8759,0.8759,2021-04-01,1.6906,1.6906,2019-12-19,1,0.10%,1,0.10%,1,1.00%
37,004788,富荣沪深300指数增强A,FRHS300ZSZQA,92.9607,,0,2020-04-01,1.0072,1.0072,2021-04-01,1.9435,1.9435,2018-02-11,1,0.12%,1,0.12%,1,1.20%
38,004789,富荣沪深300指数增强C,FRHS300ZSZQC,92.7448,,0,2020-04-01,1.0048,1.0048,2021-04-01,1.9367,1.9367,2018-02-11,1,0.00%,,,,
39,001490,汇添富国企创新股票A,HTFGQCXGPA,92.4157,,0,2020-04-01,1.068,1.068,2021-04-01,2.055,2.055,2015-07-10,1,0.15%,1,0.15%,1,1.50%
40,515030,华夏中证新能源汽车ETF,HXZZXNYQCETF,91.8251,,0,2020-04-01,0.7731,0.7731,2021-04-01,1.483,1.483,2020-02-20,,,,,,
41,000594,大摩进取优选股票,DMJQYXGP,91.7573,,0,2020-04-01,1.747,1.747,2021-04-01,3.35,3.35,2014-05-29,1,0.15%,1,0.15%,1,1.50%
42,001825,建信中国制造2025股票A,JXZGZZ2025GPA,91.4016,,0,2020-04-01,1.1037,1.1037,2021-04-01,2.1125,2.1125,2017-03-08,1,0.15%,1,0.15%,1,1.50%
43,001230,鹏华医药科技,PHYYKJ,91.2230,,0,2020-04-01,0.695,0.695,2021-04-01,1.329,1.329,2015-06-02,1,0.15%,1,0.15%,1,1.50%
44,001158,工银新材料新能源股票,GYXCLXNYGP,91.0097,,0,2020-04-01,0.723,0.723,2021-04-01,1.381,1.381,2015-04-28,1,0.15%,1,0.15%,1,1.50%
45,005037,银华新能源新材料A,YHXNYXCLA,90.4418,,0,2020-04-01,0.7627,0.7627,2021-04-01,1.4525,1.4525,2017-09-15,1,0.15%,1,0.15%,1,1.50%
46,003984,嘉实新能源新材料股票A,JSXNYXCLGPA,90.2314,,0,2020-04-01,1.3697,1.3697,2021-04-01,2.6056,2.6056,2017-03-16,1,0.15%,1,0.15%,1,1.50%
47,005038,银华新能源新材料C,YHXNYXCLC,89.6816,,0,2020-04-01,0.754,0.754,2021-04-01,1.4302,1.4302,2017-09-15,1,0.00%,,,,
48,006265,红土创新新科技股票,HTCXXKJGP,89.4060,0.05,1,2020-04-01,1.556,1.556,2021-04-01,2.903,2.953,2018-09-14,1,0.15%,1,0.15%,1,1.50%
49,003985,嘉实新能源新材料股票C,JSXNYXCLGPC,89.2915,,0,2020-04-01,1.3578,1.3578,2021-04-01,2.5702,2.5702,2017-03-16,1,0.00%,,,,
50,001577,嘉实低价策略股票,JSDJCLGP,88.7850,,0,2020-04-01,1.284,1.284,2021-04-01,2.424,2.424,2015-07-27,1,0.15%,1,0.15%,1,1.50%
51,001126,上投摩根卓越制造股票A,STMGZYZZGPA,88.6466,0.1295,1,2020-04-01,0.943,0.943,2021-04-01,1.6471,1.7766,2015-04-14,1,0.15%,1,0.15%,1,1.50%
52,000592,建信改革红利股票,JXGGHLGP,88.5830,,0,2020-04-01,2.47,2.47,2021-04-01,4.658,4.658,2014-05-14,1,0.15%,1,0.15%,1,1.50%
53,001104,华安新丝路主题股票A,HAXSLZTGPA,88.5293,0.1091,1,2020-04-01,1.421,1.421,2021-04-01,2.56,2.669,2015-04-09,1,0.15%,1,0.15%,1,1.50%
