,基金代码,基金简称,基金条码,涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,无用1,手续费,无用2,也是手续费,无用3,无用4
0,002059,国泰浓益灵活配置混合C,GTNYLHPZHHC,95.9906,,0,2016-04-01,1.272,1.272,2017-03-31,2.493,2.493,2015-11-16,1,0.08%,1,0.08%,1,0.80%
1,002061,国泰安康定期支付混合C,GTAKDQZFHHC,92.0194,,0,2016-04-01,1.228,1.228,2017-03-31,2.358,2.358,2015-11-16,,0.00%,,,,
2,002425,金鹰元禧混合C,JYYXHHC,61.5167,0.5,1,2016-04-01,1,1,2017-03-31,1.112,1.612,2016-03-07,1,0.00%,,0.00%,0,0.00%
3,002779,新疆前海联合新思路混合C,XJQHLHXSLHHC,58.6,,0,2016-11-11,1,1,2017-03-31,1.586,1.586,2016-11-11,,0.00%,,,,
4,003854,汇安丰华混合A,HAFHHHA,51.43,,0,2017-01-10,1,1,2017-03-31,1.5143,1.5143,2017-01-10,1,0.15%,1,0.15%,1,1.50%
5,002564,新沃通盈灵活配置混合,XWTYLHPZHH,44.1054,0.35,1,2016-09-22,1,1,2017-03-31,1.068,1.418,2016-09-22,1,0.15%,1,0.15%,1,1.50%
6,002186,国联安鑫享灵活配置混合C,GLAXXLHPZHHC,39.7261,,0,2016-04-01,1.022,1.022,2017-03-31,1.428,1.428,2015-11-28,1,0.00%,,0.00%,0,0.00%
7,020026,国泰成长优选混合,GTCZYXHH,37.1240,,0,2016-04-01,2.128,2.15,2017-03-31,2.918,2.94,2012-03-20,1,0.15%,1,0.15%,1,1.50%
8,180012,银华富裕主题混合,YHFYZTHH,36.7052,,0,2016-04-01,1.5382,2.4912,2017-03-31,2.1028,3.0558,2006-11-16,1,0.15%,1,0.15%,1,1.50%
9,519091,新华泛资源优势混合,XHFZYYSHH,34.3645,,0,2016-04-01,1.778,1.778,2017-03-31,2.389,2.389,2009-07-13,1,0.15%,1,0.15%,1,1.50%
10,000742,国泰新经济灵活配置混合A,GTXJJLHPZHHA,31.8707,0.285,1,2016-04-01,1.606,1.606,2017-03-31,1.801,2.086,2014-09-16,1,0.15%,1,0.15%,1,1.50%
11,000970,东方红睿元混合,DFHRYHH,31.8113,,0,2016-04-01,1.314,1.314,2017-03-31,1.732,1.732,2015-01-21,6,1.50%,99,1.50%,99,1.50%
12,210004,金鹰稳健成长混合,JYWJCZHH,31.5972,,0,2016-04-01,1.152,1.882,2017-03-31,1.516,2.246,2010-04-14,1,0.15%,1,0.15%,1,1.50%
13,169102,东方红睿阳三年混合,DFHRYSNHH,30.8694,0.088,1,2016-04-01,1.021,1.316,2017-03-31,1.239,1.622,2015-01-19,6,1.50%,99,1.50%,99,1.50%
14,169101,东方红睿丰混合,DFHRFHH,30.8273,0.11,1,2016-04-01,1.078,1.647,2017-03-31,1.287,1.966,2014-09-19,1,0.15%,1,0.15%,1,1.50%
15,168101,九泰锐智事件驱动混合(LOF),JTRZSJQDHHLOF,30.2145,0.19,1,2016-04-01,1.089,1.089,2017-03-31,1.226,1.416,2015-08-14,1,0.15%,1,0.15%,1,1.50%
16,050018,博时行业轮动混合,BSHYLDHH,30.1587,,0,2016-04-01,0.882,0.882,2017-03-31,1.148,1.148,2010-12-10,1,0.15%,1,0.15%,1,1.50%
17,000527,南方新优享灵活配置混合A,NFXYXLHPZHHA,29.8148,,0,2016-04-01,1.62,1.62,2017-03-31,2.103,2.103,2014-02-26,1,0.15%,1,0.15%,1,1.50%
18,001694,华安沪港深外延增长混合,HAHGSWYZZHH,29.1089,,0,2016-04-01,1.01,1.01,2017-03-31,1.304,1.304,2016-03-09,6,0.15%,1,0.15%,1,1.50%
19,020023,国泰事件驱动策略混合,GTSJQDCLHH,28.5714,,0,2016-04-01,1.743,1.743,2017-03-31,2.241,2.241,2011-08-17,1,0.15%,1,0.15%,1,1.50%
20,001662,创金合信沪港深精选混合,CJHXHGSJXHH,28.1179,,0,2016-04-01,0.882,0.882,2017-03-31,1.13,1.13,2015-08-24,1,0.15%,1,0.15%,1,1.50%
21,160212,国泰估值优势混合(LOF),GTGZYSHHLOF,27.8876,,0,2016-04-01,1.922,1.922,2017-03-31,2.458,2.458,2010-02-10,1,0.15%,1,0.15%,1,1.50%
22,000363,国泰聚信价值优势混合C,GTJXJZYSHHC,27.5817,0.994,1,2016-04-01,1.755,1.755,2017-03-31,1.22,2.214,2013-12-17,1,0.00%,,,,
