,基金代码,基金简称,基金条码,涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,无用1,手续费,无用2,也是手续费,无用3,无用4
0,009317,金信核心竞争力混合,JXHXJZLHH,141.1122,0.9327,2,2020-05-09,1,1,2021-04-01,1.543,2.4757,2020-05-09,1,0.12%,1,0.12%,1,1.20%
1,002190,农银新能源主题,NYXNYZT,136.7484,,0,2020-04-01,1.0444,1.0444,2021-04-01,2.4726,2.4726,2016-03-29,1,0.15%,1,0.15%,1,1.50%
2,001606,农银工业4.0混合,NYGY40HH,135.5835,,0,2020-04-01,1.3495,1.3495,2021-04-01,3.1792,3.1792,2015-08-13,1,0.15%,1,0.15%,1,1.50%
3,000336,农银研究精选混合,NYYJJXHH,132.7177,,0,2020-04-01,1.4891,1.4891,2021-04-01,3.4654,3.4654,2013-11-05,1,0.15%,1,0.15%,1,1.50%
4,005004,交银品质升级混合A,JYPZSJHHA,126.6680,,0,2020-04-01,0.9997,0.9997,2021-04-01,2.266,2.266,2018-02-08,1,0.15%,1,0.15%,1,1.50%
5,005888,华夏新兴消费混合A,HXXXXFHHA,124.4321,,0,2020-04-01,1.435,1.435,2021-04-01,3.2206,3.2206,2018-11-07,1,0.15%,1,0.15%,1,1.50%
6,005889,华夏新兴消费混合C,HXXXXFHHC,123.3333,,0,2020-04-01,1.425,1.425,2021-04-01,3.1825,3.1825,2018-11-07,1,0.00%,,,,
7,004868,交银股息优化混合,JYGXYHHH,122.2721,,0,2020-04-01,1.2913,1.2913,2021-04-01,2.8702,2.8702,2017-08-25,1,0.15%,1,0.15%,1,1.50%
8,090018,大成新锐产业混合,DCXRCYHH,121.1558,,0,2020-04-01,1.938,2.438,2021-04-01,4.286,4.786,2012-03-20,1,0.15%,1,0.15%,1,1.50%
9,570001,诺德价值优势混合,NDJZYSHH,121.1145,,0,2020-04-01,1.4464,1.8764,2021-04-01,3.1982,3.6282,2007-04-19,1,0.15%,1,0.15%,1,1.50%
10,570008,诺德周期策略混合,NDZQCLHH,117.4353,,0,2020-04-01,1.778,2.673,2021-04-01,3.866,4.761,2012-03-21,1,0.15%,1,0.15%,1,1.50%
11,006299,恒越核心精选混合A,HYHXJXHHA,113.2235,,0,2020-04-01,1.0194,1.0194,2021-04-01,2.1736,2.1736,2018-11-15,1,0.15%,1,0.15%,1,1.50%
12,007193,恒越核心精选混合C,HYHXJXHHC,112.8029,,0,2020-04-01,1.0232,1.0232,2021-04-01,2.1774,2.1774,2019-04-10,1,0.00%,,,,
13,162203,泰达宏利稳定混合,TDHLWDHH,112.6923,,0,2020-04-01,1.43,3.37,2021-04-01,3.0415,4.9815,2003-04-25,1,0.15%,1,0.15%,1,1.50%
14,001300,大成睿景灵活配置混合A,DCRJLHPZHHA,112.6743,,0,2020-04-01,0.789,0.789,2021-04-01,1.678,1.678,2015-05-26,1,0.15%,1,0.15%,1,1.50%
15,001301,大成睿景灵活配置混合C,DCRJLHPZHHC,110.8037,,0,2020-04-01,0.759,0.759,2021-04-01,1.6,1.6,2015-05-26,1,0.00%,,,,
16,001951,金鹰改革红利混合,JYGGHLHH,109.2237,,0,2020-04-01,1.095,1.095,2021-04-01,2.291,2.291,2015-12-02,1,0.15%,1,0.15%,1,1.50%
17,001384,东方新思路混合A,DFXSLHHA,108.3452,,0,2020-04-01,0.8448,0.8448,2021-04-01,1.7601,1.7601,2015-06-25,1,0.08%,1,0.08%,1,0.80%
18,000209,信诚新兴产业混合A,XCXXCYHHA,108.2405,,0,2020-04-01,1.347,1.347,2021-04-01,2.805,2.805,2013-07-17,1,0.15%,1,0.15%,1,1.50%
19,519710,交银策略回报灵活配置混合,JYCLHBLHPZHH,107.7145,,0,2020-04-01,1.037,1.7,2021-04-01,2.154,2.817,2012-06-20,1,0.15%,1,0.15%,1,1.50%
20,001385,东方新思路混合C,DFXSLHHC,107.5392,,0,2020-04-01,0.829,0.829,2021-04-01,1.7205,1.7205,2015-06-25,1,0.00%,,,,
21,005241,中欧时代智慧混合A,ZOSDZHHHA,107.0548,,0,2020-04-01,1.1354,1.236,2021-04-01,2.3509,2.4515,2018-01-25,1,0.15%,1,0.15%,1,1.50%
