,基金代码,基金简称,基金条码,涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,无用1,手续费,无用2,也是手续费,无用3,无用4
0,165312,建信央视财经50指数(LOF),JXYSCJ50ZSLOF,33.9264,,0,2017-04-05,1.4246,1.5571,2018-03-30,0.9457,2.0922,2013-03-28,1,0.12%,1,0.12%,1,1.20%
1,161725,招商中证白酒指数(LOF)A,ZSZZBJZSLOFA,33.5389,,0,2017-04-05,1.161,1.198,2018-03-30,1.033,1.569,2015-05-27,1,0.10%,1,0.10%,1,1.00%
2,159928,汇添富中证主要消费ETF,HTFZZZYXFETF,33.3436,,0,2017-04-05,1.6216,1.6216,2018-03-30,2.1623,2.1623,2013-08-23,,0.05%,,,,
3,160222,国泰国证食品饮料行业(LOF)A,GTGZSPYLHYLOFA,31.9239,,0,2017-04-05,0.9424,1.5637,2018-03-30,1.2179,1.8666,2014-10-23,1,0.00%,,,,
4,217027,招商央视财经50指数A,ZSYSCJ50ZSA,31.6158,,0,2017-04-05,1.572,1.572,2018-03-30,2.069,2.069,2013-02-05,1,0.12%,1,0.12%,1,1.20%
5,000248,汇添富中证主要消费ETF联接A,HTFZZZYXFETFLJA,31.5504,,0,2017-04-05,1.1049,1.1049,2018-03-30,1.4535,1.4535,2015-03-24,1,0.10%,1,0.10%,1,1.00%
6,512600,嘉实中证主要消费ETF,JSZZZYXFETF,31.2463,,0,2017-04-05,1.6674,1.6674,2018-03-30,2.1884,2.1884,2014-06-13,,,,,,
7,510630,华夏消费ETF,HXXFETF,29.1237,,0,2017-04-05,1.746,1.746,2018-03-30,2.2545,2.2545,2013-03-28,,,,,,
8,512010,易方达沪深300医药ETF,YFDHS300YYETF,28.7464,,0,2017-04-05,1.4287,1.4287,2018-03-30,1.8394,1.8394,2013-09-23,,0.05%,,,,
9,540012,汇丰晋信恒生龙头指数A,HFJXHSLTZSA,28.0072,0.37,1,2017-04-05,1.5372,1.5372,2018-03-30,1.5621,1.9321,2012-08-01,1,0.12%,1,0.12%,1,1.20%
10,159905,工银深证红利ETF,GYSZHLETF,27.7397,,0,2017-04-05,1.2985,1.2985,2018-03-30,1.6587,1.6587,2010-11-05,,,,,,
11,001149,汇丰晋信恒生龙头指数C,HFJXHSLTZSC,27.4235,0.37,1,2017-04-05,1.5336,1.5336,2018-03-30,1.5503,1.9203,2015-04-01,1,0.00%,,,,
12,110003,易方达上证50增强A,YFDSZ50ZQA,27.3714,0.02,1,2017-04-05,1.1023,2.9523,2018-03-30,1.3864,3.2564,2004-03-22,1,0.15%,1,0.15%,1,1.50%
13,481012,工银深证红利ETF联接A,GYSZHLETFLJA,26.1693,,0,2017-04-05,1.0711,1.2493,2018-03-30,1.3514,1.5296,2010-11-09,1,0.10%,1,0.10%,1,1.00%
