,基金代码,基金简称,基金条码,涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,无用1,手续费,无用2,也是手续费,无用3,无用4
0,012404,东方中债1-5年政策性金融债C,DFZZ15NZCXJRZC,143.042438,0.255,1,2021-08-13,1,1,2022-04-29,2.1744,2.4294,2021-08-13,1,0.00%,,,,
1,168204,中融中证煤炭指数(LOF),ZRZZMTZSLOF,68.8443,,0,2021-04-01,0.995,0.995,2022-04-29,1.68,1.68,2015-06-25,1,0.00%,,,,
2,515220,国泰中证煤炭ETF,GTZZMTETF,67.4999,0.08,1,2021-04-01,1.3634,1.3634,2022-04-29,2.1958,2.2758,2020-01-20,,,,,,
3,008279,国泰中证煤炭ETF联接A,GTZZMTETFLJA,66.1892,0.3,1,2021-04-01,1.3325,1.3325,2022-04-29,1.869,2.169,2020-01-16,1,0.10%,1,0.10%,1,1.00%
4,008280,国泰中证煤炭ETF联接C,GTZZMTETFLJC,65.6619,0.3,1,2021-04-01,1.3279,1.3279,2022-04-29,1.8547,2.1547,2020-01-16,1,0.00%,,,,
5,161032,富国中证煤炭指数(LOF)A,FGZZMTZSLOFA,61.7462,,0,2021-04-01,1.111,0.774,2022-04-29,1.797,1.252,2015-06-19,1,0.00%,,,,
6,009703,鹏华中债1-3年农发行债券指数C,PHZZ13NNFHZQZSC,58.9015,0.2003,4,2021-04-01,1.0147,1.0167,2022-04-29,1.4086,1.6109,2020-08-17,,0.00%,,,,
7,161724,招商中证煤炭等权指数(LOF)A,ZSZZMTDQZSLOFA,56.3229,,0,2021-04-01,1.0802,0.801,2022-04-29,1.6886,1.2057,2015-05-20,1,0.10%,1,0.10%,1,1.00%
8,008653,长城中债1-3年政金债C,CCZZ13NZJZC,49.8860,,0,2021-04-01,1.0089,1.0089,2022-04-29,1.5122,1.5122,2020-08-11,6,0.00%,,,,
9,008652,长城中债1-3年政金债A,CCZZ13NZJZA,49.8712,,0,2021-04-01,1.0094,1.0094,2022-04-29,1.5128,1.5128,2020-08-11,1,0.04%,1,0.04%,1,0.40%
10,159981,建信易盛能源化工期货ETF,JXYSNYHGQHETF,49.6551,,0,2021-04-01,1.102,1.102,2022-04-29,1.6492,1.6492,2019-12-13,,,,,,
